Id_code,Codice Ripartizione geografica,Codice Regione,Codice Comune (alfanumerico),Codice Comune (numerico),Ripartizione Geografica,Regione,Sigla automobilistica,Comune,Capoluogo di Provincia/Uts,Capoluogo di Regione,Popolazione legale,Superficie (Kmq),Year,deaths,injured,road_acc,road_acc_per_km2,road_acc_per_1000_inhabitants
1068,1,1,1068,1068,Nord-Ovest,Piemonte,TO,Castiglione Torinese,No,No,6363.0,14.1345,2022,0,11,7,0.49524213803105877,1.1001100110011
1068,1,1,1068,1068,Nord-Ovest,Piemonte,TO,Castiglione Torinese,No,No,6363.0,14.1345,2023,0,24,15,1.0612331529236974,2.3573785950023574
1068,1,1,1068,1068,Nord-Ovest,Piemonte,TO,Castiglione Torinese,No,No,6363.0,14.1345,2024,0,6,3,0.21224663058473947,0.47147571900047147
1069,1,1,1069,1069,Nord-Ovest,Piemonte,TO,Cavagnolo,No,No,2309.0,12.3285,2021,0,3,3,0.24333860566978952,1.29926375054136
1069,1,1,1069,1069,Nord-Ovest,Piemonte,TO,Cavagnolo,No,No,2309.0,12.3285,2022,0,4,3,0.24333860566978952,1.29926375054136
1069,1,1,1069,1069,Nord-Ovest,Piemonte,TO,Cavagnolo,No,No,2309.0,12.3285,2023,0,0,0,0.0,0.0
1069,1,1,1069,1069,Nord-Ovest,Piemonte,TO,Cavagnolo,No,No,2309.0,12.3285,2024,0,5,4,0.32445147422638604,1.7323516673884798
1070,1,1,1070,1070,Nord-Ovest,Piemonte,TO,Cavour,No,No,5568.0,48.9591,2021,0,19,13,0.2655277568419354,2.334770114942529
1070,1,1,1070,1070,Nord-Ovest,Piemonte,TO,Cavour,No,No,5568.0,48.9591,2022,0,10,9,0.18382690858287837,1.6163793103448276
1070,1,1,1070,1070,Nord-Ovest,Piemonte,TO,Cavour,No,No,5568.0,48.9591,2023,1,13,8,0.1634016965181141,1.4367816091954022
1070,1,1,1070,1070,Nord-Ovest,Piemonte,TO,Cavour,No,No,5568.0,48.9591,2024,0,19,10,0.20425212064764262,1.7959770114942528
1071,1,1,1071,1071,Nord-Ovest,Piemonte,TO,Cercenasco,No,No,1857.0,13.1595,2021,0,2,2,0.15198145826209203,1.0770059235325795
1071,1,1,1071,1071,Nord-Ovest,Piemonte,TO,Cercenasco,No,No,1857.0,13.1595,2022,0,6,5,0.3799536456552301,2.6925148088314486
1071,1,1,1071,1071,Nord-Ovest,Piemonte,TO,Cercenasco,No,No,1857.0,13.1595,2023,0,1,1,0.07599072913104601,0.5385029617662898
1072,1,1,1072,1072,Nord-Ovest,Piemonte,TO,Ceres,No,No,1056.0,28.0516,2021,0,1,1,0.03564859045473342,0.946969696969697
1072,1,1,1072,1072,Nord-Ovest,Piemonte,TO,Ceres,No,No,1056.0,28.0516,2022,0,2,1,0.03564859045473342,0.946969696969697
1072,1,1,1072,1072,Nord-Ovest,Piemonte,TO,Ceres,No,No,1056.0,28.0516,2023,0,0,0,0.0,0.0
1072,1,1,1072,1072,Nord-Ovest,Piemonte,TO,Ceres,No,No,1056.0,28.0516,2024,0,3,2,0.07129718090946684,1.893939393939394
1073,1,1,1073,1073,Nord-Ovest,Piemonte,TO,Ceresole Reale,No,No,159.0,99.8147,2021,0,0,0,0.0,0.0
1073,1,1,1073,1073,Nord-Ovest,Piemonte,TO,Ceresole Reale,No,No,159.0,99.8147,2022,0,1,1,0.01001856439983289,6.289308176100629
1073,1,1,1073,1073,Nord-Ovest,Piemonte,TO,Ceresole Reale,No,No,159.0,99.8147,2023,0,0,0,0.0,0.0
1073,1,1,1073,1073,Nord-Ovest,Piemonte,TO,Ceresole Reale,No,No,159.0,99.8147,2024,0,1,1,0.01001856439983289,6.289308176100629
1074,1,1,1074,1074,Nord-Ovest,Piemonte,TO,Cesana Torinese,No,No,1007.0,121.7001,2021,0,3,3,0.02465076035270308,2.9791459781529297
1074,1,1,1074,1074,Nord-Ovest,Piemonte,TO,Cesana Torinese,No,No,1007.0,121.7001,2022,0,7,5,0.041084600587838464,4.96524329692155
1074,1,1,1074,1074,Nord-Ovest,Piemonte,TO,Cesana Torinese,No,No,1007.0,121.7001,2023,0,11,7,0.057518440822973846,6.951340615690168
1074,1,1,1074,1074,Nord-Ovest,Piemonte,TO,Cesana Torinese,No,No,1007.0,121.7001,2024,0,8,5,0.041084600587838464,4.96524329692155
1075,1,1,1075,1075,Nord-Ovest,Piemonte,TO,Chialamberto,No,No,364.0,35.4478,2021,0,0,0,0.0,0.0
1075,1,1,1075,1075,Nord-Ovest,Piemonte,TO,Chialamberto,No,No,364.0,35.4478,2022,0,0,0,0.0,0.0
1075,1,1,1075,1075,Nord-Ovest,Piemonte,TO,Chialamberto,No,No,364.0,35.4478,2023,0,0,0,0.0,0.0
1075,1,1,1075,1075,Nord-Ovest,Piemonte,TO,Chialamberto,No,No,364.0,35.4478,2024,0,1,1,0.02821049543272079,2.7472527472527473
1076,1,1,1076,1076,Nord-Ovest,Piemonte,TO,Chianocco,No,No,1700.0,18.6134,2021,0,4,4,0.2148989437716914,2.352941176470588
1076,1,1,1076,1076,Nord-Ovest,Piemonte,TO,Chianocco,No,No,1700.0,18.6134,2022,0,8,5,0.2686236797146142,2.941176470588235
1076,1,1,1076,1076,Nord-Ovest,Piemonte,TO,Chianocco,No,No,1700.0,18.6134,2023,0,6,5,0.2686236797146142,2.941176470588235
1076,1,1,1076,1076,Nord-Ovest,Piemonte,TO,Chianocco,No,No,1700.0,18.6134,2024,0,5,5,0.2686236797146142,2.941176470588235
1077,1,1,1077,1077,Nord-Ovest,Piemonte,TO,Chiaverano,No,No,2106.0,12.0221,2021,0,9,5,0.41590071618103325,2.3741690408357075
1077,1,1,1077,1077,Nord-Ovest,Piemonte,TO,Chiaverano,No,No,2106.0,12.0221,2022,0,1,1,0.08318014323620665,0.47483380816714155
1077,1,1,1077,1077,Nord-Ovest,Piemonte,TO,Chiaverano,No,No,2106.0,12.0221,2023,0,6,4,0.3327205729448266,1.8993352326685662
1077,1,1,1077,1077,Nord-Ovest,Piemonte,TO,Chiaverano,No,No,2106.0,12.0221,2024,0,2,1,0.08318014323620665,0.47483380816714155
1078,1,1,1078,1078,Nord-Ovest,Piemonte,TO,Chieri,No,No,35962.0,54.1975,2021,2,67,50,0.9225517782185525,1.3903564874033703
1078,1,1,1078,1078,Nord-Ovest,Piemonte,TO,Chieri,No,No,35962.0,54.1975,2022,1,66,43,0.7933945292679552,1.1957065791668984
1078,1,1,1078,1078,Nord-Ovest,Piemonte,TO,Chieri,No,No,35962.0,54.1975,2023,1,73,60,1.107062133862263,1.6684277848840443
1078,1,1,1078,1078,Nord-Ovest,Piemonte,TO,Chieri,No,No,35962.0,54.1975,2024,1,90,65,1.1993173116841183,1.8074634336243813
1079,1,1,1079,1079,Nord-Ovest,Piemonte,TO,Chiesanuova,No,No,203.0,4.1189,2021,0,0,0,0.0,0.0
1079,1,1,1079,1079,Nord-Ovest,Piemonte,TO,Chiesanuova,No,No,203.0,4.1189,2022,0,0,0,0.0,0.0
1079,1,1,1079,1079,Nord-Ovest,Piemonte,TO,Chiesanuova,No,No,203.0,4.1189,2023,0,0,0,0.0,0.0
1080,1,1,1080,1080,Nord-Ovest,Piemonte,TO,Chiomonte,No,No,932.0,26.7549,2021,0,1,1,0.03737633106459004,1.0729613733905579
1080,1,1,1080,1080,Nord-Ovest,Piemonte,TO,Chiomonte,No,No,932.0,26.7549,2022,1,4,4,0.14950532425836016,4.291845493562231
1080,1,1,1080,1080,Nord-Ovest,Piemonte,TO,Chiomonte,No,No,932.0,26.7549,2023,0,9,4,0.14950532425836016,4.291845493562231
1080,1,1,1080,1080,Nord-Ovest,Piemonte,TO,Chiomonte,No,No,932.0,26.7549,2024,0,10,4,0.14950532425836016,4.291845493562231
1081,1,1,1081,1081,Nord-Ovest,Piemonte,TO,Chiusa di San Michele,No,No,1691.0,5.9165,2021,0,0,0,0.0,0.0
1081,1,1,1081,1081,Nord-Ovest,Piemonte,TO,Chiusa di San Michele,No,No,1691.0,5.9165,2022,0,5,5,0.8450942280064228,2.9568302779420463
1081,1,1,1081,1081,Nord-Ovest,Piemonte,TO,Chiusa di San Michele,No,No,1691.0,5.9165,2023,0,1,1,0.16901884560128455,0.5913660555884093
1081,1,1,1081,1081,Nord-Ovest,Piemonte,TO,Chiusa di San Michele,No,No,1691.0,5.9165,2024,0,7,5,0.8450942280064228,2.9568302779420463
1082,1,1,1082,1082,Nord-Ovest,Piemonte,TO,Chivasso,No,No,25914.0,51.2378,2021,1,84,60,1.1710104649301882,2.31535077564251
1082,1,1,1082,1082,Nord-Ovest,Piemonte,TO,Chivasso,No,No,25914.0,51.2378,2022,1,80,58,1.1319767827658487,2.238172416454426
1082,1,1,1082,1082,Nord-Ovest,Piemonte,TO,Chivasso,No,No,25914.0,51.2378,2023,0,115,83,1.6198978098200938,3.202901906305472
1082,1,1,1082,1082,Nord-Ovest,Piemonte,TO,Chivasso,No,No,25914.0,51.2378,2024,1,102,67,1.307628352505377,2.5854750328008027
1083,1,1,1083,1083,Nord-Ovest,Piemonte,TO,Ciconio,No,No,371.0,3.1638,2021,0,1,1,0.3160756052847841,2.6954177897574128
1083,1,1,1083,1083,Nord-Ovest,Piemonte,TO,Ciconio,No,No,371.0,3.1638,2022,0,0,0,0.0,0.0
1083,1,1,1083,1083,Nord-Ovest,Piemonte,TO,Ciconio,No,No,371.0,3.1638,2023,0,0,0,0.0,0.0
1084,1,1,1084,1084,Nord-Ovest,Piemonte,TO,Cintano,No,No,261.0,4.9345,2021,0,0,0,0.0,0.0
1084,1,1,1084,1084,Nord-Ovest,Piemonte,TO,Cintano,No,No,261.0,4.9345,2022,0,0,0,0.0,0.0
1084,1,1,1084,1084,Nord-Ovest,Piemonte,TO,Cintano,No,No,261.0,4.9345,2023,0,0,0,0.0,0.0
1085,1,1,1085,1085,Nord-Ovest,Piemonte,TO,Cinzano,No,No,375.0,6.1962,2021,0,0,0,0.0,0.0
1085,1,1,1085,1085,Nord-Ovest,Piemonte,TO,Cinzano,No,No,375.0,6.1962,2022,0,0,0,0.0,0.0
1085,1,1,1085,1085,Nord-Ovest,Piemonte,TO,Cinzano,No,No,375.0,6.1962,2023,0,0,0,0.0,0.0
1086,1,1,1086,1086,Nord-Ovest,Piemonte,TO,Ciriè,No,No,18415.0,17.7329,2021,0,43,33,1.860947729925731,1.7920173771382024
1086,1,1,1086,1086,Nord-Ovest,Piemonte,TO,Ciriè,No,No,18415.0,17.7329,2022,1,37,26,1.466201241759667,1.4118924789573717
1086,1,1,1086,1086,Nord-Ovest,Piemonte,TO,Ciriè,No,No,18415.0,17.7329,2023,0,41,31,1.7481630190211415,1.683410263372251
1086,1,1,1086,1086,Nord-Ovest,Piemonte,TO,Ciriè,No,No,18415.0,17.7329,2024,0,49,42,2.3684789289963852,2.280749389084985
1087,1,1,1087,1087,Nord-Ovest,Piemonte,TO,Claviere,No,No,192.0,2.6872,2021,0,0,0,0.0,0.0
1087,1,1,1087,1087,Nord-Ovest,Piemonte,TO,Claviere,No,No,192.0,2.6872,2022,0,0,0,0.0,0.0
1087,1,1,1087,1087,Nord-Ovest,Piemonte,TO,Claviere,No,No,192.0,2.6872,2023,0,0,0,0.0,0.0
1088,1,1,1088,1088,Nord-Ovest,Piemonte,TO,Coassolo Torinese,No,No,1550.0,27.8788,2021,0,2,1,0.03586954962193495,0.6451612903225806
1088,1,1,1088,1088,Nord-Ovest,Piemonte,TO,Coassolo Torinese,No,No,1550.0,27.8788,2022,0,1,1,0.03586954962193495,0.6451612903225806
1088,1,1,1088,1088,Nord-Ovest,Piemonte,TO,Coassolo Torinese,No,No,1550.0,27.8788,2023,0,2,2,0.0717390992438699,1.2903225806451613
