Id_code,Year,deaths,injured,road_acc
1111,2024,0,8,4
1112,2021,0,13,12
1112,2022,0,27,17
1112,2023,1,12,13
1112,2024,0,16,14
1113,2021,0,4,1
1113,2022,0,8,6
1113,2023,0,3,2
1113,2024,0,12,9
1114,2021,0,2,2
1114,2022,0,4,4
1114,2023,0,2,1
1114,2024,0,6,4
1115,2021,0,20,15
1115,2022,1,25,23
1115,2023,0,33,27
1115,2024,1,19,15
1116,2021,1,5,4
1116,2022,0,1,1
1116,2023,0,10,4
1116,2024,0,4,4
1117,2021,0,3,3
1117,2022,0,3,2
1117,2023,1,3,3
1117,2024,0,3,2
1118,2021,0,1,1
1118,2022,0,0,0
1118,2023,0,0,0
1118,2024,0,1,1
1119,2021,0,4,3
1119,2022,0,4,4
1119,2023,0,1,1
1119,2024,0,2,2
1120,2021,0,46,34
1120,2022,0,51,39
1120,2023,1,86,56
1120,2024,0,76,61
1121,2021,0,0,0
1121,2022,0,0,0
1121,2023,0,0,0
1122,2021,0,2,2
1122,2022,0,9,4
1122,2023,0,3,2
1123,2021,0,0,0
1123,2022,0,0,0
1123,2023,0,0,0
1124,2021,0,2,2
1124,2022,0,0,0
1124,2023,0,0,0
1125,2021,0,72,57
1125,2022,1,55,46
1125,2023,1,79,65
1125,2024,1,71,54
1126,2021,0,1,1
1126,2022,0,1,1
1126,2023,0,0,0
1126,2024,0,2,2
1127,2021,1,19,15
1127,2022,0,29,17
1127,2023,0,27,14
1127,2024,0,21,14
1128,2021,0,4,3
1128,2022,0,16,11
1128,2023,0,7,7
1128,2024,0,14,10
1129,2021,0,0,0
1129,2022,0,2,2
1129,2023,0,1,1
1129,2024,0,2,1
1130,2021,1,65,44
1130,2022,1,48,31
1130,2023,0,53,37
1130,2024,1,48,35
1131,2021,0,0,0
1131,2022,0,1,1
1131,2023,0,0,0
1132,2021,0,4,3
1132,2022,0,3,2
1132,2023,0,8,6
1132,2024,0,5,3
1133,2021,0,0,0
1133,2022,1,1,1
1133,2023,0,1,1
1134,2021,0,7,5
1134,2022,0,2,2
1134,2023,0,2,2
1134,2024,0,2,1
1135,2021,0,16,7
1135,2022,0,11,6
1135,2023,0,6,4
1135,2024,1,4,4
1136,2021,0,0,0
1136,2022,0,3,2
1136,2023,0,1,1
1136,2024,0,2,1
1137,2021,0,0,0
1137,2022,0,0,0
1137,2023,0,0,0
1139,2021,0,7,5
1139,2022,1,12,6
1139,2023,0,6,5
1139,2024,0,7,6
1140,2021,0,0,0
1140,2022,0,0,0
1140,2023,0,1,1
1141,2021,0,0,0
1141,2022,0,0,0
1141,2023,0,1,1
1141,2024,0,6,2
1142,2021,0,2,2
1142,2022,0,0,0
1142,2023,0,0,0
1142,2024,1,0,1
1143,2021,0,0,0
1143,2022,0,0,0
1143,2023,0,0,0
1144,2021,0,0,0
1144,2022,0,0,0
1144,2023,0,0,0
1144,2024,0,4,2
1145,2021,0,0,0
1145,2022,0,0,0
1145,2023,0,0,0
1146,2021,0,9,5
